1000,23-04-2016 22:57:21
1000,01-01-0001 00:00:00
1000,22-04-2016 19:44:14
1000,22-04-2016 19:50:50
1000,23-04-2016 23:17:04
1000,23-04-2016 23:22:40
1000,23-04-2016 23:36:55
1000,23-04-2016 23:38:29
1000,23-04-2016 23:40:45
1000,23-04-2016 23:43:28
1000,23-04-2016 23:45:00
1001,24-04-2016 19:09:12
1001,24-04-2016 19:10:13
1002,24-04-2016 20:09:39
1002,24-04-2016 20:53:07
1002,24-04-2016 20:54:50
1000,24-04-2016 21:11:17
1000,24-04-2016 21:12:13
1000,24-04-2016 21:47:49
1000,24-04-2016 21:51:30
